TypeDescription,Score,Grade,Latitude,Longitude
FOOD SERVICE,97,A,38.1562,-85.7143
FOOD SERVICE,100,A,38.1268,-85.6796
FOOD SERVICE,,,38.2569,-85.7169
FOOD SERVICE,98,A,38.1644,-85.5983
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2983,-85.5576
FOOD SERVICE,100,A,38.2207,-85.7205
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.2703,-85.8054
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.2582,-85.7043
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2253,-85.5779
FOOD SERVICE,100,,38.1271,-85.7903
"RETAIL-FOOD  10,000 SQ FT OR LESS",95,,38.2582,-85.7871
FOOD SERVICE,95,A,38.2488,-85.7572
FOOD SERVICE,98,A,38.2043,-85.7907
FOOD SERVICE,98,A,38.343,-85.6172
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2103,-85.7666
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.1151,-85.8331
FOOD SERVICE,,,38.2224,-85.6656
FOOD SERVICE,100,,38.2794,-85.6772
FOOD SERVICE,95,A,38.1775,-85.8189
FOOD SERVICE,98,A,38.1944,-85.807
FOOD SERVICE,97,A,38.2915,-85.6243
FOOD SERVICE,98,A,38.3448,-85.6035
