DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
01/15/2017 08:00:31 AM,2016/11/01,Misc. Terminal,Departure,International,3268881
01/15/2017 08:00:31 AM,2016/11/01,Misc. Terminal,Arrival,International,3227237
02/15/2017 08:01:02 AM,2016/12/01,Terminal 8,Departure,Domestic,3465050
02/15/2017 08:01:02 AM,2016/12/01,Terminal 8,Arrival,International,3407211
03/15/2017 08:00:30 AM,2017/01/01,Terminal 8,Arrival,Domestic,3265504
03/15/2017 08:00:30 AM,2017/01/01,Tom Bradley International Terminal,Departure,Domestic,3179083
04/15/2017 08:01:01 AM,2017/02/01,Terminal 1,Departure,Domestic,2823906
04/15/2017 08:01:01 AM,2017/02/01,Misc. Terminal,Arrival,International,2780338
05/15/2017 08:00:46 AM,2017/03/01,Terminal 8,Arrival,Domestic,3370130
05/15/2017 08:00:46 AM,2017/03/01,Terminal 5,Departure,Domestic,3409270
06/15/2017 08:00:49 AM,2017/04/01,Tom Bradley International Terminal,Arrival,International,3446914
06/15/2017 08:00:49 AM,2017/04/01,Terminal 8,Departure,International,3427323
07/15/2017 08:00:45 AM,2017/05/01,Tom Bradley International Terminal,Arrival,Domestic,3557136
07/15/2017 08:00:45 AM,2017/05/01,Terminal 8,Departure,International,3610315
08/15/2017 08:00:43 AM,2017/06/01,Terminal 2,Arrival,Domestic,3769990
08/15/2017 08:00:43 AM,2017/06/01,Terminal 3,Departure,Domestic,3956892
09/15/2017 08:00:44 AM,2017/07/01,Terminal 3,Departure,International,4067362
09/15/2017 08:00:44 AM,2017/07/01,Terminal 7,Arrival,International,4108667
10/15/2017 08:00:40 AM,2017/08/01,Terminal 8,Arrival,Domestic,3967294
10/15/2017 08:00:40 AM,2017/08/01,Terminal 4,Departure,International,3962788
11/15/2017 08:00:41 AM,2017/09/01,Terminal 2,Departure,International,3399138
11/15/2017 08:00:41 AM,2017/09/01,Tom Bradley International Terminal,Arrival,International,3385951
12/15/2017 08:00:40 AM,2017/10/01,Terminal 3,Arrival,International,3579399
12/15/2017 08:00:40 AM,2017/10/01,Terminal 4,Departure,Domestic,3607194
01/15/2018 08:00:38 AM,2017/11/01,Terminal 7,Arrival,Domestic,3364471
01/15/2018 08:00:38 AM,2017/11/01,Tom Bradley International Terminal,Departure,Domestic,3421502
02/15/2018 08:00:37 AM,2017/12/01,Terminal 1,Arrival,Domestic,3492396
02/15/2018 08:00:37 AM,2017/12/01,Terminal 7,Departure,International,3605537
03/15/2018 08:00:35 AM,2018/01/01,Tom Bradley International Terminal,Departure,Domestic,3319441
03/15/2018 08:00:35 AM,2018/01/01,Terminal 2,Arrival,Domestic,3367666
04/15/2018 08:00:39 AM,2018/02/01,Terminal 4,Arrival,Domestic,3005867
04/15/2018 08:00:39 AM,2018/02/01,Terminal 5,Departure,International,3037412
05/15/2018 08:00:38 AM,2018/03/01,Terminal 5,Departure,Domestic,3664249
